类别：所有类别

月份,Pop music: (全球)
2004-01,100
2004-02,100
2004-03,97
2004-04,95
2004-05,92
2004-06,83
2004-07,84
2004-08,79
2004-09,86
2004-10,83
2004-11,87
2004-12,87
2005-01,85
2005-02,78
2005-03,75
2005-04,77
2005-05,74
2005-06,75
2005-07,79
2005-08,67
2005-09,69
2005-10,68
2005-11,69
2005-12,67
2006-01,57
2006-02,61
2006-03,62
2006-04,58
2006-05,53
2006-06,54
2006-07,51
2006-08,49
2006-09,50
2006-10,48
2006-11,48
2006-12,49
2007-01,45
2007-02,50
2007-03,52
2007-04,50
2007-05,48
2007-06,47
2007-07,46
2007-08,44
2007-09,49
2007-10,40
2007-11,39
2007-12,42
2008-01,42
2008-02,38
2008-03,40
2008-04,38
2008-05,40
2008-06,35
2008-07,34
2008-08,33
2008-09,36
2008-10,37
2008-11,36
2008-12,39
2009-01,38
2009-02,36
2009-03,39
2009-04,37
2009-05,39
2009-06,36
2009-07,37
2009-08,34
2009-09,37
2009-10,36
2009-11,41
2009-12,38
2010-01,36
2010-02,36
2010-03,35
2010-04,36
2010-05,37
2010-06,35
2010-07,31
2010-08,34
2010-09,35
2010-10,34
2010-11,32
2010-12,33
2011-01,33
2011-02,34
2011-03,35
2011-04,31
2011-05,31
2011-06,30
2011-07,30
2011-08,28
2011-09,31
2011-10,29
2011-11,29
2011-12,30
2012-01,28
2012-02,27
2012-03,28
2012-04,28
2012-05,29
2012-06,31
2012-07,28
2012-08,27
2012-09,30
2012-10,28
2012-11,27
2012-12,28
2013-01,26
2013-02,27
2013-03,27
2013-04,27
2013-05,30
2013-06,32
2013-07,28
2013-08,28
2013-09,30
2013-10,30
2013-11,30
2013-12,31
2014-01,28
2014-02,30
2014-03,29
2014-04,28
2014-05,28
2014-06,27
2014-07,29
2014-08,28
2014-09,28
2014-10,30
2014-11,29
2014-12,30
2015-01,29
2015-02,31
2015-03,30
2015-04,30
2015-05,30
2015-06,27
2015-07,25
2015-08,25
2015-09,28
2015-10,27
2015-11,27
2015-12,27
2016-01,27
2016-02,28
2016-03,26
2016-04,28
2016-05,27
2016-06,26
2016-07,23
2016-08,23
2016-09,25
2016-10,26
2016-11,26
2016-12,27
2017-01,25
2017-02,27
2017-03,27
2017-04,25
2017-05,26
2017-06,22
2017-07,22
2017-08,23
2017-09,23
2017-10,24
2017-11,24
2017-12,24
2018-01,23
2018-02,23
2018-03,23
2018-04,21
2018-05,23
2018-06,20
2018-07,18
2018-08,19
2018-09,21
2018-10,21
2018-11,22
2018-12,21
2019-01,20
2019-02,21
2019-03,22
2019-04,20
2019-05,22
2019-06,19
2019-07,18
2019-08,19
2019-09,20
2019-10,21
2019-11,20
2019-12,21
2020-01,20
2020-02,21
2020-03,21
2020-04,25
2020-05,24
2020-06,20
2020-07,20
2020-08,21
2020-09,23
2020-10,19
2020-11,18
2020-12,20
2021-01,21
2021-02,20
2021-03,19
2021-04,18
2021-05,18
2021-06,16
2021-07,16
2021-08,16
2021-09,17
2021-10,17
2021-11,19
2021-12,18
2022-01,20
2022-02,20
2022-03,23
2022-04,22
2022-05,20
2022-06,19
2022-07,16
2022-08,17
2022-09,19
2022-10,18
2022-11,19
2022-12,18
2023-01,18
2023-02,19
2023-03,19
2023-04,18
2023-05,19
2023-06,17
2023-07,16
2023-08,16
2023-09,18
2023-10,18
2023-11,19
2023-12,18
2024-01,18
2024-02,20
2024-03,19
2024-04,19
2024-05,19
2024-06,17
2024-07,16
2024-08,17
2024-09,20
2024-10,19
2024-11,20
2024-12,20
2025-01,20
2025-02,20
2025-03,21
2025-04,21
2025-05,22
2025-06,20
2025-07,21
2025-08,34
2025-09,34
2025-10,32
2025-11,34
2025-12,36
