类别：所有类别

月份,Rock music: (全球)
2004-01,88
2004-02,92
2004-03,100
2004-04,90
2004-05,85
2004-06,78
2004-07,78
2004-08,74
2004-09,83
2004-10,87
2004-11,77
2004-12,83
2005-01,75
2005-02,79
2005-03,79
2005-04,81
2005-05,80
2005-06,76
2005-07,77
2005-08,73
2005-09,76
2005-10,77
2005-11,79
2005-12,78
2006-01,69
2006-02,68
2006-03,70
2006-04,68
2006-05,72
2006-06,61
2006-07,60
2006-08,61
2006-09,63
2006-10,57
2006-11,62
2006-12,62
2007-01,54
2007-02,56
2007-03,61
2007-04,57
2007-05,57
2007-06,56
2007-07,56
2007-08,51
2007-09,52
2007-10,52
2007-11,53
2007-12,55
2008-01,51
2008-02,54
2008-03,53
2008-04,50
2008-05,54
2008-06,57
2008-07,56
2008-08,54
2008-09,56
2008-10,53
2008-11,54
2008-12,54
2009-01,49
2009-02,50
2009-03,47
2009-04,48
2009-05,49
2009-06,42
2009-07,41
2009-08,42
2009-09,43
2009-10,42
2009-11,42
2009-12,42
2010-01,39
2010-02,39
2010-03,40
2010-04,41
2010-05,42
2010-06,38
2010-07,34
2010-08,36
2010-09,37
2010-10,35
2010-11,35
2010-12,35
2011-01,38
2011-02,32
2011-03,33
2011-04,36
2011-05,33
2011-06,32
2011-07,32
2011-08,32
2011-09,31
2011-10,31
2011-11,30
2011-12,31
2012-01,29
2012-02,29
2012-03,28
2012-04,28
2012-05,27
2012-06,27
2012-07,26
2012-08,26
2012-09,26
2012-10,25
2012-11,25
2012-12,25
2013-01,22
2013-02,25
2013-03,25
2013-04,26
2013-05,24
2013-06,23
2013-07,23
2013-08,23
2013-09,22
2013-10,22
2013-11,23
2013-12,23
2014-01,21
2014-02,22
2014-03,22
2014-04,22
2014-05,23
2014-06,20
2014-07,20
2014-08,21
2014-09,21
2014-10,21
2014-11,20
2014-12,21
2015-01,20
2015-02,20
2015-03,20
2015-04,21
2015-05,21
2015-06,19
2015-07,20
2015-08,19
2015-09,19
2015-10,19
2015-11,18
2015-12,21
2016-01,18
2016-02,21
2016-03,19
2016-04,19
2016-05,20
2016-06,18
2016-07,18
2016-08,16
2016-09,18
2016-10,18
2016-11,18
2016-12,19
2017-01,18
2017-02,18
2017-03,19
2017-04,18
2017-05,18
2017-06,17
2017-07,17
2017-08,16
2017-09,16
2017-10,17
2017-11,17
2017-12,17
2018-01,16
2018-02,17
2018-03,17
2018-04,17
2018-05,15
2018-06,15
2018-07,15
2018-08,14
2018-09,15
2018-10,14
2018-11,16
2018-12,16
2019-01,15
2019-02,16
2019-03,16
2019-04,15
2019-05,15
2019-06,16
2019-07,14
2019-08,14
2019-09,15
2019-10,14
2019-11,15
2019-12,15
2020-01,15
2020-02,15
2020-03,13
2020-04,15
2020-05,14
2020-06,13
2020-07,12
2020-08,12
2020-09,13
2020-10,12
2020-11,12
2020-12,12
2021-01,12
2021-02,12
2021-03,12
2021-04,12
2021-05,12
2021-06,12
2021-07,11
2021-08,11
2021-09,12
2021-10,12
2021-11,13
2021-12,13
2022-01,14
2022-02,14
2022-03,15
2022-04,16
2022-05,15
2022-06,14
2022-07,14
2022-08,13
2022-09,14
2022-10,12
2022-11,13
2022-12,13
2023-01,13
2023-02,14
2023-03,14
2023-04,13
2023-05,13
2023-06,13
2023-07,12
2023-08,12
2023-09,13
2023-10,12
2023-11,13
2023-12,13
2024-01,13
2024-02,14
2024-03,13
2024-04,14
2024-05,14
2024-06,12
2024-07,12
2024-08,13
2024-09,13
2024-10,12
2024-11,13
2024-12,15
2025-01,13
2025-02,14
2025-03,14
2025-04,14
2025-05,14
2025-06,14
2025-07,15
2025-08,21
2025-09,19
2025-10,19
2025-11,20
2025-12,20
