类别：所有类别

月份,Rock music: (俄罗斯)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,77
2008-01,80
2008-02,0
2008-03,89
2008-04,73
2008-05,100
2008-06,0
2008-07,0
2008-08,0
2008-09,50
2008-10,0
2008-11,51
2008-12,0
2009-01,56
2009-02,66
2009-03,41
2009-04,65
2009-05,62
2009-06,68
2009-07,0
2009-08,58
2009-09,0
2009-10,0
2009-11,50
2009-12,70
2010-01,0
2010-02,46
2010-03,33
2010-04,33
2010-05,42
2010-06,36
2010-07,37
2010-08,52
2010-09,43
2010-10,35
2010-11,0
2010-12,0
2011-01,46
2011-02,33
2011-03,46
2011-04,34
2011-05,33
2011-06,34
2011-07,31
2011-08,24
2011-09,31
2011-10,29
2011-11,29
2011-12,29
2012-01,30
2012-02,26
2012-03,30
2012-04,37
2012-05,30
2012-06,25
2012-07,24
2012-08,23
2012-09,26
2012-10,26
2012-11,25
2012-12,26
2013-01,21
2013-02,23
2013-03,20
2013-04,22
2013-05,24
2013-06,19
2013-07,21
2013-08,20
2013-09,19
2013-10,24
2013-11,21
2013-12,21
2014-01,19
2014-02,14
2014-03,14
2014-04,17
2014-05,20
2014-06,18
2014-07,12
2014-08,11
2014-09,19
2014-10,15
2014-11,16
2014-12,12
2015-01,14
2015-02,13
2015-03,13
2015-04,16
2015-05,16
2015-06,17
2015-07,11
2015-08,12
2015-09,13
2015-10,17
2015-11,10
2015-12,13
2016-01,11
2016-02,12
2016-03,13
2016-04,11
2016-05,13
2016-06,13
2016-07,11
2016-08,12
2016-09,9
2016-10,14
2016-11,10
2016-12,10
2017-01,9
2017-02,10
2017-03,12
2017-04,10
2017-05,11
2017-06,9
2017-07,10
2017-08,8
2017-09,10
2017-10,10
2017-11,12
2017-12,12
2018-01,11
2018-02,10
2018-03,12
2018-04,11
2018-05,12
2018-06,11
2018-07,10
2018-08,11
2018-09,10
2018-10,11
2018-11,11
2018-12,13
2019-01,12
2019-02,11
2019-03,10
2019-04,14
2019-05,13
2019-06,12
2019-07,11
2019-08,11
2019-09,10
2019-10,12
2019-11,11
2019-12,11
2020-01,8
2020-02,11
2020-03,9
2020-04,11
2020-05,11
2020-06,8
2020-07,9
2020-08,7
2020-09,9
2020-10,7
2020-11,10
2020-12,7
2021-01,7
2021-02,9
2021-03,9
2021-04,8
2021-05,7
2021-06,9
2021-07,6
2021-08,7
2021-09,9
2021-10,8
2021-11,6
2021-12,9
2022-01,9
2022-02,11
2022-03,10
2022-04,11
2022-05,11
2022-06,9
2022-07,8
2022-08,8
2022-09,9
2022-10,11
2022-11,11
2022-12,12
2023-01,10
2023-02,11
2023-03,14
2023-04,11
2023-05,10
2023-06,8
2023-07,9
2023-08,9
2023-09,10
2023-10,12
2023-11,13
2023-12,14
2024-01,13
2024-02,13
2024-03,11
2024-04,9
2024-05,11
2024-06,9
2024-07,9
2024-08,10
2024-09,13
2024-10,8
2024-11,13
2024-12,10
2025-01,11
2025-02,13
2025-03,11
2025-04,14
2025-05,12
2025-06,13
2025-07,10
2025-08,11
2025-09,11
2025-10,11
2025-11,14
2025-12,15
